"year","step","area","length","number"
1985,"2","1","len72",77
1986,"2","1","len72",119.591
1987,"2","1","len72",73
1988,"2","1","len72",64
1989,"2","1","len72",87.4
1990,"2","1","len72",56
1991,"2","1","len72",45
1992,"2","1","len72",68
1993,"2","1","len72",45
1994,"2","1","len72",50
1995,"2","1","len72",23
1996,"2","1","len72",46
1997,"2","1","len72",21
1998,"2","1","len72",24
1999,"2","1","len72",43
2000,"2","1","len72",30
2001,"2","1","len72",22
2002,"2","1","len72",32
2003,"2","1","len72",34
2004,"2","1","len72",45
2005,"2","1","len72",79
2006,"2","1","len72",62
2007,"2","1","len72",109
2008,"2","1","len72",97
2009,"2","1","len72",95
2010,"2","1","len72",106
2011,"2","1","len72",158.357
2012,"2","1","len72",174
2013,"2","1","len72",183
2014,"2","1","len72",163
2015,"2","1","len72",171
2016,"2","1","len72",95
2017,"2","1","len72",78
2018,"2","1","len72",72
