"year","step","area","age","length","number"
2001,"4","1","age10","len108",1
2001,"4","1","age10","len116",1
2001,"4","1","age10","len84",1
2001,"4","1","age11","len112",1
2001,"4","1","age11","len128",1
2001,"4","1","age6","len64",1
2001,"4","1","age6","len72",2
2001,"4","1","age6","len84",1
2001,"4","1","age7","len108",1
2001,"4","1","age7","len80",1
2001,"4","1","age7","len84",1
2001,"4","1","age7","len88",1
2001,"4","1","age7","len96",1
2001,"4","1","age8","len88",1
2001,"4","1","age8","len92",1
2001,"4","1","age9","len100",2
2001,"4","1","age9","len104",2
2002,"1","1","age10","len96",1
2002,"1","1","age11","len116",1
2002,"1","1","age11","len156",1
2002,"1","1","age5","len64",2
2002,"1","1","age6","len64",1
2002,"1","1","age6","len68",1
2002,"1","1","age6","len80",3
2002,"1","1","age6","len88",1
2002,"1","1","age7","len72",1
2002,"1","1","age7","len80",1
2002,"1","1","age8","len100",1
2002,"1","1","age8","len112",1
2002,"1","1","age8","len76",1
2002,"1","1","age8","len88",1
2002,"1","1","age8","len96",1
2002,"1","1","age9","len108",1
2002,"1","1","age9","len88",1
2002,"2","1","age10","len124",1
2002,"2","1","age11","len100",1
2002,"2","1","age11","len108",1
2002,"2","1","age11","len116",1
2002,"2","1","age11","len124",1
2002,"2","1","age11","len132",1
2002,"2","1","age11","len136",1
2002,"2","1","age11","len140",1
2002,"2","1","age5","len64",1
2002,"2","1","age5","len80",1
2002,"2","1","age6","len68",1
2002,"2","1","age6","len72",1
2002,"2","1","age6","len76",1
2002,"2","1","age6","len80",1
2002,"2","1","age7","len80",2
2002,"2","1","age7","len84",1
2002,"2","1","age8","len76",1
2002,"2","1","age8","len84",1
2002,"2","1","age9","len96",1
2002,"4","1","age10","len96",1
2002,"4","1","age11","len116",1
2002,"4","1","age11","len132",1
2002,"4","1","age5","len60",1
2002,"4","1","age5","len68",2
2002,"4","1","age6","len68",2
2002,"4","1","age6","len72",1
2002,"4","1","age6","len76",1
2002,"4","1","age6","len84",1
2002,"4","1","age6","len88",1
2002,"4","1","age6","len96",1
2002,"4","1","age7","len112",1
2002,"4","1","age7","len76",1
2002,"4","1","age7","len88",1
2002,"4","1","age7","len92",1
2002,"4","1","age8","len80",1
2002,"4","1","age8","len88",1
2002,"4","1","age9","len84",1
2003,"2","1","age10","len108",1
2003,"2","1","age10","len92",1
2003,"2","1","age11","len116",1
2003,"2","1","age11","len148",1
2003,"2","1","age5","len72",2
2003,"2","1","age6","len68",1
2003,"2","1","age6","len80",3
2003,"2","1","age6","len84",1
2003,"2","1","age6","len88",1
2003,"2","1","age6","len92",1
2003,"2","1","age7","len80",1
2003,"2","1","age7","len88",1
2003,"2","1","age7","len92",1
2003,"2","1","age7","len96",1
2003,"2","1","age8","len88",1
2003,"2","1","age8","len96",1
2003,"2","1","age9","len88",1
2003,"3","1","age10","len108",1
2003,"3","1","age10","len76",1
2003,"3","1","age10","len84",1
2003,"3","1","age10","len92",1
2003,"3","1","age10","len96",1
2003,"3","1","age11","len100",2
2003,"3","1","age11","len104",1
2003,"3","1","age11","len116",1
2003,"3","1","age5","len60",1
2003,"3","1","age5","len68",1
2003,"3","1","age5","len72",2
2003,"3","1","age5","len80",1
2003,"3","1","age6","len60",1
2003,"3","1","age6","len72",4
2003,"3","1","age6","len76",1
2003,"3","1","age6","len80",3
2003,"3","1","age7","len72",1
2003,"3","1","age7","len84",2
2003,"3","1","age7","len92",3
2003,"3","1","age8","len104",1
2003,"3","1","age8","len108",1
2003,"3","1","age8","len76",1
2003,"3","1","age8","len80",1
2003,"3","1","age8","len84",1
2003,"3","1","age8","len92",1
2003,"3","1","age8","len96",2
2003,"3","1","age9","len104",1
2003,"3","1","age9","len108",1
2003,"3","1","age9","len88",1
2004,"3","1","age10","len100",2
2004,"3","1","age10","len108",1
2004,"3","1","age11","len116",1
2004,"3","1","age11","len124",1
2004,"3","1","age6","len76",1
2004,"3","1","age6","len80",1
2004,"3","1","age6","len84",1
2004,"3","1","age7","len104",1
2004,"3","1","age7","len88",2
2004,"3","1","age7","len92",1
2004,"3","1","age7","len96",1
2004,"3","1","age8","len88",3
2004,"3","1","age8","len92",1
2004,"3","1","age9","len104",1
2004,"3","1","age9","len80",1
2004,"3","1","age9","len88",1
2012,"1","1","age10","len100",1
2012,"1","1","age10","len104",1
2012,"1","1","age10","len112",1
2012,"1","1","age11","len108",1
2012,"1","1","age11","len116",1
2012,"1","1","age11","len120",2
2012,"1","1","age11","len124",3
2012,"1","1","age11","len128",2
2012,"1","1","age11","len132",1
2012,"1","1","age4","len64",1
2012,"1","1","age5","len68",1
2012,"1","1","age5","len76",1
2012,"1","1","age6","len64",2
2012,"1","1","age6","len68",1
2012,"1","1","age6","len72",2
2012,"1","1","age6","len80",1
2012,"1","1","age6","len84",3
2012,"1","1","age7","len108",1
2012,"1","1","age7","len116",1
2012,"1","1","age7","len72",1
2012,"1","1","age7","len76",2
2012,"1","1","age7","len80",3
2012,"1","1","age7","len84",2
2012,"1","1","age7","len88",2
2012,"1","1","age7","len92",1
2012,"1","1","age7","len96",4
2012,"1","1","age8","len100",2
2012,"1","1","age8","len104",1
2012,"1","1","age8","len108",1
2012,"1","1","age8","len120",1
2012,"1","1","age8","len72",1
2012,"1","1","age8","len76",1
2012,"1","1","age8","len80",1
2012,"1","1","age8","len84",2
2012,"1","1","age8","len88",5
2012,"1","1","age8","len92",2
2012,"1","1","age9","len104",2
2012,"1","1","age9","len112",1
2012,"1","1","age9","len84",1
2012,"1","1","age9","len88",1
2012,"1","1","age9","len92",3
2012,"1","1","age9","len96",3
2012,"2","1","age10","len100",1
2012,"2","1","age10","len104",2
2012,"2","1","age10","len80",1
2012,"2","1","age10","len84",1
2012,"2","1","age10","len88",4
2012,"2","1","age10","len92",5
2012,"2","1","age11","len100",1
2012,"2","1","age11","len104",3
2012,"2","1","age11","len108",4
2012,"2","1","age11","len112",1
2012,"2","1","age11","len120",1
2012,"2","1","age11","len156",1
2012,"2","1","age11","len92",1
2012,"2","1","age11","len96",2
2012,"2","1","age5","len72",1
2012,"2","1","age6","len60",1
2012,"2","1","age6","len64",2
2012,"2","1","age6","len68",1
2012,"2","1","age7","len68",1
2012,"2","1","age7","len72",2
2012,"2","1","age7","len76",6
2012,"2","1","age7","len80",2
2012,"2","1","age7","len84",2
2012,"2","1","age7","len88",3
2012,"2","1","age8","len68",1
2012,"2","1","age8","len72",1
2012,"2","1","age8","len76",8
2012,"2","1","age8","len80",6
2012,"2","1","age8","len84",4
2012,"2","1","age8","len88",4
2012,"2","1","age8","len92",3
2012,"2","1","age9","len100",2
2012,"2","1","age9","len108",1
2012,"2","1","age9","len76",2
2012,"2","1","age9","len80",2
2012,"2","1","age9","len84",8
2012,"2","1","age9","len88",6
2012,"2","1","age9","len92",1
2012,"2","1","age9","len96",1
2012,"3","1","age10","len76",1
2012,"3","1","age5","len56",1
2012,"3","1","age6","len64",1
2012,"3","1","age6","len68",1
2012,"3","1","age6","len72",1
2012,"3","1","age7","len60",1
2012,"3","1","age7","len64",3
2012,"3","1","age7","len68",2
