"year","step","area","age","length","number"
2001,"2","1","age10","len100",2
2001,"2","1","age10","len104",1
2001,"2","1","age10","len108",2
2001,"2","1","age10","len112",3
2001,"2","1","age10","len88",1
2001,"2","1","age10","len96",2
2001,"2","1","age11","len108",1
2001,"2","1","age11","len112",2
2001,"2","1","age11","len116",1
2001,"2","1","age11","len120",1
2001,"2","1","age11","len92",1
2001,"2","1","age5","len64",1
2001,"2","1","age5","len68",1
2001,"2","1","age6","len84",1
2001,"2","1","age7","len104",1
2001,"2","1","age7","len80",1
2001,"2","1","age7","len84",1
2001,"2","1","age7","len88",1
2001,"2","1","age8","len100",1
2001,"2","1","age8","len104",1
2001,"2","1","age8","len84",2
2001,"2","1","age8","len96",1
2001,"2","1","age9","len100",4
2001,"2","1","age9","len104",2
2001,"2","1","age9","len108",1
2001,"2","1","age9","len88",1
2001,"2","1","age9","len92",1
2001,"2","1","age9","len96",2
2001,"3","1","age10","len120",2
2001,"3","1","age11","len112",2
2001,"3","1","age11","len116",1
2001,"3","1","age11","len120",1
2001,"3","1","age11","len124",2
2001,"3","1","age11","len132",1
2001,"3","1","age7","len96",2
2001,"3","1","age8","len104",2
2001,"3","1","age8","len112",1
2001,"3","1","age8","len116",1
2001,"3","1","age8","len96",1
2001,"3","1","age9","len108",1
2001,"3","1","age9","len112",1
2001,"3","1","age9","len116",1
2001,"4","1","age10","len112",3
2001,"4","1","age10","len128",1
2001,"4","1","age10","len84",1
2001,"4","1","age10","len96",1
2001,"4","1","age11","len112",1
2001,"4","1","age6","len80",1
2001,"4","1","age8","len100",1
2001,"4","1","age8","len104",1
2001,"4","1","age8","len112",1
2001,"4","1","age8","len96",1
2001,"4","1","age9","len100",2
2001,"4","1","age9","len104",1
2001,"4","1","age9","len108",1
2001,"4","1","age9","len112",1
2001,"4","1","age9","len88",1
2001,"4","1","age9","len96",2
2002,"1","1","age10","len100",1
2002,"1","1","age10","len104",2
2002,"1","1","age10","len112",2
2002,"1","1","age10","len116",3
2002,"1","1","age10","len120",1
2002,"1","1","age10","len124",1
2002,"1","1","age10","len92",1
2002,"1","1","age10","len96",2
2002,"1","1","age11","len100",1
2002,"1","1","age11","len108",1
2002,"1","1","age11","len116",5
2002,"1","1","age11","len124",2
2002,"1","1","age11","len128",1
2002,"1","1","age11","len132",1
2002,"1","1","age11","len136",2
2002,"1","1","age11","len140",2
2002,"1","1","age11","len88",2
2002,"1","1","age6","len76",1
2002,"1","1","age8","len100",2
2002,"1","1","age9","len104",1
2002,"1","1","age9","len108",1
2002,"1","1","age9","len92",1
2002,"1","1","age9","len96",1
2002,"2","1","age10","len100",1
2002,"2","1","age10","len104",1
2002,"2","1","age10","len108",1
2002,"2","1","age10","len116",1
2002,"2","1","age10","len124",1
2002,"2","1","age10","len96",1
2002,"2","1","age11","len104",1
2002,"2","1","age11","len120",1
2002,"2","1","age11","len128",1
2002,"2","1","age11","len132",1
2002,"2","1","age11","len136",1
2002,"2","1","age11","len96",2
2002,"2","1","age5","len84",1
2002,"2","1","age6","len100",1
2002,"2","1","age6","len80",1
2002,"2","1","age6","len84",2
2002,"2","1","age7","len100",2
2002,"2","1","age7","len84",1
2002,"2","1","age7","len92",2
2002,"2","1","age7","len96",2
2002,"2","1","age8","len100",1
2002,"2","1","age8","len104",2
2002,"2","1","age8","len120",1
2002,"2","1","age8","len96",5
2002,"2","1","age9","len100",1
2002,"2","1","age9","len104",2
2002,"2","1","age9","len108",1
2002,"2","1","age9","len116",1
2002,"2","1","age9","len92",1
2003,"2","1","age10","len104",1
2003,"2","1","age10","len124",1
2003,"2","1","age11","len108",2
