"year","step","area","age","length","number"
2001,"1","1","age10","len100",2
2001,"1","1","age10","len84",1
2001,"1","1","age10","len92",2
2001,"1","1","age11","len108",1
2001,"1","1","age11","len112",1
2001,"1","1","age11","len120",1
2001,"1","1","age5","len68",2
2001,"1","1","age5","len76",2
2001,"1","1","age6","len68",2
2001,"1","1","age6","len76",6
2001,"1","1","age6","len80",2
2001,"1","1","age6","len84",2
2001,"1","1","age6","len88",1
2001,"1","1","age7","len100",1
2001,"1","1","age7","len68",2
2001,"1","1","age7","len80",4
2001,"1","1","age7","len84",4
2001,"1","1","age7","len92",2
2001,"1","1","age7","len96",1
2001,"1","1","age8","len80",1
2001,"1","1","age8","len84",2
2001,"1","1","age8","len92",5
2001,"1","1","age8","len96",4
2001,"1","1","age9","len100",1
2001,"1","1","age9","len108",1
2001,"1","1","age9","len116",1
2001,"1","1","age9","len80",1
2001,"1","1","age9","len84",1
2001,"1","1","age9","len88",1
2001,"1","1","age9","len92",1
2001,"1","1","age9","len96",2
2001,"3","1","age10","len100",2
2001,"3","1","age10","len104",2
2001,"3","1","age10","len108",1
2001,"3","1","age10","len80",1
2001,"3","1","age10","len84",1
2001,"3","1","age10","len88",1
2001,"3","1","age10","len96",3
2001,"3","1","age11","len100",3
2001,"3","1","age11","len104",1
2001,"3","1","age11","len112",2
2001,"3","1","age11","len116",2
2001,"3","1","age11","len136",1
2001,"3","1","age11","len96",1
2001,"3","1","age5","len72",7
2001,"3","1","age5","len80",1
2001,"3","1","age6","len68",2
2001,"3","1","age6","len72",1
2001,"3","1","age6","len76",3
2001,"3","1","age6","len80",3
2001,"3","1","age6","len84",4
2001,"3","1","age6","len88",3
2001,"3","1","age6","len92",2
2001,"3","1","age6","len96",1
2001,"3","1","age7","len100",1
2001,"3","1","age7","len104",1
2001,"3","1","age7","len80",2
2001,"3","1","age7","len84",3
2001,"3","1","age7","len88",1
2001,"3","1","age7","len92",3
2001,"3","1","age7","len96",2
2001,"3","1","age8","len100",3
2001,"3","1","age8","len104",1
2001,"3","1","age8","len108",2
2001,"3","1","age8","len116",2
2001,"3","1","age8","len68",1
2001,"3","1","age8","len80",3
2001,"3","1","age8","len84",4
2001,"3","1","age8","len88",5
2001,"3","1","age8","len92",4
2001,"3","1","age8","len96",2
2001,"3","1","age9","len100",6
2001,"3","1","age9","len104",3
2001,"3","1","age9","len108",1
2001,"3","1","age9","len112",2
2001,"3","1","age9","len80",1
2001,"3","1","age9","len84",5
2001,"3","1","age9","len88",2
2001,"3","1","age9","len92",6
2001,"3","1","age9","len96",5
2001,"4","1","age10","len100",1
2001,"4","1","age10","len104",1
2001,"4","1","age10","len80",1
2001,"4","1","age10","len84",1
2001,"4","1","age10","len96",1
2001,"4","1","age11","len108",1
2001,"4","1","age11","len144",1
2001,"4","1","age11","len96",1
2001,"4","1","age5","len56",1
2001,"4","1","age5","len76",1
2001,"4","1","age5","len80",1
2001,"4","1","age5","len84",1
2001,"4","1","age6","len64",1
2001,"4","1","age6","len68",1
2001,"4","1","age6","len76",1
2001,"4","1","age6","len80",1
