"year","step","area","age","length","number"
2001,"2","1","age10","len104",1
2001,"2","1","age10","len120",1
2001,"2","1","age10","len88",2
2001,"2","1","age10","len92",1
2001,"2","1","age10","len96",2
2001,"2","1","age11","len116",1
2001,"2","1","age11","len88",1
2001,"2","1","age4","len40",1
2001,"2","1","age4","len52",1
2001,"2","1","age5","len44",1
2001,"2","1","age5","len48",1
2001,"2","1","age5","len60",1
2001,"2","1","age5","len68",5
2001,"2","1","age5","len84",1
2001,"2","1","age6","len52",1
2001,"2","1","age6","len56",1
2001,"2","1","age6","len68",1
2001,"2","1","age6","len72",2
2001,"2","1","age6","len76",3
2001,"2","1","age7","len52",1
2001,"2","1","age7","len56",1
2001,"2","1","age7","len60",1
2001,"2","1","age7","len64",1
2001,"2","1","age7","len76",2
2001,"2","1","age7","len84",2
2001,"2","1","age7","len92",1
2001,"2","1","age8","len100",1
2001,"2","1","age8","len68",1
2001,"2","1","age8","len76",3
2001,"2","1","age8","len84",1
2001,"2","1","age8","len96",1
2001,"2","1","age9","len112",1
2001,"2","1","age9","len116",1
2001,"2","1","age9","len72",1
2001,"2","1","age9","len76",1
2001,"2","1","age9","len80",2
2001,"2","1","age9","len88",2
2001,"2","1","age9","len92",2
2003,"2","1","age10","len100",2
2003,"2","1","age10","len112",1
2003,"2","1","age11","len100",2
2003,"2","1","age11","len108",2
2003,"2","1","age11","len120",1
2003,"2","1","age11","len124",1
2003,"2","1","age11","len148",1
2003,"2","1","age3","len32",1
2003,"2","1","age4","len48",2
2003,"2","1","age4","len52",2
2003,"2","1","age5","len36",1
2003,"2","1","age5","len44",3
2003,"2","1","age5","len48",4
2003,"2","1","age5","len52",1
2003,"2","1","age5","len56",3
2003,"2","1","age5","len60",3
2003,"2","1","age5","len68",3
2003,"2","1","age5","len72",1
2003,"2","1","age5","len76",1
2003,"2","1","age6","len44",1
2003,"2","1","age6","len56",1
2003,"2","1","age6","len60",2
2003,"2","1","age6","len64",4
2003,"2","1","age6","len68",2
2003,"2","1","age6","len72",3
2003,"2","1","age6","len76",2
2003,"2","1","age6","len80",3
2003,"2","1","age6","len84",1
2003,"2","1","age6","len88",1
2003,"2","1","age6","len92",1
2003,"2","1","age7","len60",2
2003,"2","1","age7","len64",2
2003,"2","1","age7","len68",4
2003,"2","1","age7","len72",3
2003,"2","1","age7","len76",4
2003,"2","1","age7","len80",2
2003,"2","1","age7","len84",5
2003,"2","1","age7","len88",1
2003,"2","1","age7","len92",1
2003,"2","1","age7","len96",1
2003,"2","1","age8","len100",2
2003,"2","1","age8","len108",1
2003,"2","1","age8","len68",2
2003,"2","1","age8","len76",1
2003,"2","1","age8","len88",1
2003,"2","1","age8","len92",1
2003,"2","1","age8","len96",1
2003,"2","1","age9","len124",1
2003,"2","1","age9","len84",1
2003,"2","1","age9","len92",2
2003,"2","1","age9","len96",1
2004,"2","1","age10","len96",1
2004,"2","1","age11","len104",1
2004,"2","1","age11","len108",1
2004,"2","1","age11","len120",1
2004,"2","1","age11","len132",1
2004,"2","1","age3","len24",1
2004,"2","1","age3","len32",2
2004,"2","1","age3","len36",1
2004,"2","1","age3","len44",1
2004,"2","1","age4","len40",2
2004,"2","1","age4","len44",2
2004,"2","1","age4","len48",2
2004,"2","1","age4","len52",1
2004,"2","1","age4","len60",1
2004,"2","1","age5","len48",2
2004,"2","1","age5","len52",2
2004,"2","1","age5","len56",1
2004,"2","1","age5","len60",3
2004,"2","1","age5","len64",2
2004,"2","1","age5","len68",2
2004,"2","1","age5","len72",1
2004,"2","1","age6","len52",2
2004,"2","1","age6","len56",3
2004,"2","1","age6","len60",2
2004,"2","1","age6","len64",4
