"year","step","area","total_weight"
1994,"1","1",240190
1994,"2","1",728988
1994,"3","1",207009
1994,"4","1",108911
1995,"1","1",190836
1995,"2","1",321821
1995,"3","1",173938
1995,"4","1",137859
1996,"1","1",146092
1996,"2","1",315130
1996,"3","1",82842
1996,"4","1",119141
1997,"1","1",89565
1997,"2","1",219650
1997,"3","1",95600
1997,"4","1",111992
1998,"1","1",114508
1998,"2","1",393528
1998,"3","1",113597
1998,"4","1",63351
1999,"1","1",178823
1999,"2","1",366431
1999,"3","1",70314
1999,"4","1",66010
2000,"1","1",127720
2000,"2","1",441940
2000,"3","1",57638
2000,"4","1",76944
2001,"1","1",230567
2001,"2","1",655028
2001,"3","1",115642
2001,"4","1",60124
2002,"1","1",160239
2002,"2","1",414999
2002,"3","1",23885
2002,"4","1",48756
2003,"1","1",129607
2003,"2","1",250984
2003,"3","1",19247
2003,"4","1",54914
2004,"1","1",140449
2004,"2","1",320847
2004,"3","1",30917
2004,"4","1",55511
2005,"1","1",151459
2005,"2","1",267244
2005,"3","1",34119
2005,"4","1",49159
2006,"1","1",177140
2006,"2","1",264657
2006,"3","1",116234
2006,"4","1",71816
2007,"1","1",180150
2007,"2","1",288170
2007,"3","1",82770
2007,"4","1",81697
2008,"1","1",129714
2008,"2","1",212007
2008,"3","1",54702
2008,"4","1",80300
2009,"1","1",225702
2009,"2","1",327454
2009,"3","1",80007
2009,"4","1",90016
2010,"1","1",154145
2010,"2","1",54734
2010,"3","1",88640
2010,"4","1",66987
2011,"1","1",98189
2011,"2","1",48571
2011,"3","1",17362
2011,"4","1",61109
2012,"1","1",55354
2012,"2","1",117811
2012,"3","1",29781
2012,"4","1",41805
2013,"1","1",75626
2013,"2","1",143554
2013,"3","1",24575
2013,"4","1",101588
2014,"1","1",65604
2014,"2","1",481967
2014,"3","1",44651
2014,"4","1",81091
2015,"1","1",85449
2015,"2","1",427577
2015,"3","1",68445
2015,"4","1",68819
2016,"1","1",60054
2016,"2","1",548228
2016,"3","1",48221
2016,"4","1",24291
2017,"1","1",29019
2017,"2","1",467710
2017,"3","1",37892
2017,"4","1",21227
2018,"1","1",31740
2018,"2","1",291086
2018,"3","1",35892
2018,"4","1",28032
