"year","step","area","age","length","number"
1982,"2","1","all3","len100",3
1982,"2","1","all3","len104",2
1982,"2","1","all3","len108",1
1982,"2","1","all3","len112",4
1982,"2","1","all3","len116",7
1982,"2","1","all3","len120",1
1982,"2","1","all3","len124",1
1982,"2","1","all3","len128",1
1982,"2","1","all3","len132",1
1983,"1","1","all3","len100",6
1983,"1","1","all3","len104",2
1983,"1","1","all3","len108",4
1983,"1","1","all3","len112",3
1983,"1","1","all3","len116",3
1983,"1","1","all3","len120",1
1983,"1","1","all3","len124",1
1983,"1","1","all3","len128",3
1983,"1","1","all3","len136",1
1983,"1","1","all3","len152",1
1983,"1","1","all3","len64",1
1983,"1","1","all3","len68",2
1983,"1","1","all3","len72",3
1983,"1","1","all3","len76",1
1983,"1","1","all3","len80",3
1983,"1","1","all3","len84",10
1983,"1","1","all3","len88",7
1983,"1","1","all3","len92",2
1983,"1","1","all3","len96",5
1986,"3","1","all3","len100",4
1986,"3","1","all3","len104",3
1986,"3","1","all3","len108",4
1986,"3","1","all3","len112",1
1986,"3","1","all3","len116",1
1986,"3","1","all3","len120",3
1986,"3","1","all3","len124",2
1986,"3","1","all3","len136",1
1986,"3","1","all3","len140",1
1986,"3","1","all3","len148",1
1986,"3","1","all3","len152",1
1986,"3","1","all3","len156",1
1986,"3","1","all3","len56",5
1986,"3","1","all3","len60",11
1986,"3","1","all3","len64",13
1986,"3","1","all3","len68",8
1986,"3","1","all3","len72",14
1986,"3","1","all3","len76",6
1986,"3","1","all3","len80",3
1986,"3","1","all3","len84",7
1986,"3","1","all3","len88",3
1986,"3","1","all3","len92",3
1986,"3","1","all3","len96",2
1986,"4","1","all3","len100",8
1986,"4","1","all3","len108",4
1986,"4","1","all3","len112",4
1986,"4","1","all3","len116",4
1986,"4","1","all3","len120",6
1986,"4","1","all3","len128",6
1986,"4","1","all3","len132",8
1986,"4","1","all3","len136",2
1986,"4","1","all3","len140",2
1986,"4","1","all3","len148",2
1986,"4","1","all3","len156",4
1986,"4","1","all3","len68",2
1986,"4","1","all3","len72",4
1986,"4","1","all3","len76",4
1986,"4","1","all3","len80",6
1986,"4","1","all3","len84",6
1986,"4","1","all3","len88",6
1986,"4","1","all3","len92",8
1986,"4","1","all3","len96",2
1987,"1","1","all3","len100",5
1987,"1","1","all3","len104",6
1987,"1","1","all3","len108",4
1987,"1","1","all3","len112",4
1987,"1","1","all3","len116",1
1987,"1","1","all3","len120",3
1987,"1","1","all3","len124",1
1987,"1","1","all3","len132",1
1987,"1","1","all3","len136",3
1987,"1","1","all3","len156",4
1987,"1","1","all3","len56",1
1987,"1","1","all3","len60",3
1987,"1","1","all3","len64",8
1987,"1","1","all3","len68",12
1987,"1","1","all3","len72",28
1987,"1","1","all3","len76",30
1987,"1","1","all3","len80",34
1987,"1","1","all3","len84",33
1987,"1","1","all3","len88",13
1987,"1","1","all3","len92",16
1987,"1","1","all3","len96",10
1987,"2","1","all3","len100",3
1987,"2","1","all3","len104",1
1987,"2","1","all3","len116",1
1987,"2","1","all3","len120",1
1987,"2","1","all3","len124",2
1987,"2","1","all3","len148",1
1987,"2","1","all3","len156",1
1987,"2","1","all3","len64",7
1987,"2","1","all3","len68",3
1987,"2","1","all3","len72",2
1987,"2","1","all3","len76",2
1987,"2","1","all3","len80",4
1987,"2","1","all3","len84",6
1987,"2","1","all3","len88",3
1987,"2","1","all3","len92",1
1987,"2","1","all3","len96",2
1987,"4","1","all3","len100",1
1987,"4","1","all3","len108",2
1987,"4","1","all3","len60",1
1987,"4","1","all3","len64",3
1987,"4","1","all3","len68",2
1987,"4","1","all3","len72",6
1987,"4","1","all3","len76",6
1987,"4","1","all3","len80",2
1987,"4","1","all3","len84",4
1987,"4","1","all3","len88",4
1987,"4","1","all3","len92",1
1995,"1","1","all3","len100",3
1995,"1","1","all3","len104",9
1995,"1","1","all3","len108",3
1995,"1","1","all3","len112",4
1995,"1","1","all3","len116",3
1995,"1","1","all3","len120",4
1995,"1","1","all3","len124",2
1995,"1","1","all3","len128",1
1995,"1","1","all3","len136",1
1995,"1","1","all3","len148",1
1995,"1","1","all3","len56",1
1995,"1","1","all3","len60",2
1995,"1","1","all3","len64",17
1995,"1","1","all3","len68",15
1995,"1","1","all3","len72",44
1995,"1","1","all3","len76",47
1995,"1","1","all3","len80",40
1995,"1","1","all3","len84",31
1995,"1","1","all3","len88",19
1995,"1","1","all3","len92",20
1995,"1","1","all3","len96",21
1996,"2","1","all3","len100",20
1996,"2","1","all3","len104",8
1996,"2","1","all3","len108",9
1996,"2","1","all3","len112",11
1996,"2","1","all3","len116",2
1996,"2","1","all3","len120",1
1996,"2","1","all3","len128",1
1996,"2","1","all3","len136",1
1996,"2","1","all3","len140",2
1996,"2","1","all3","len156",1
1996,"2","1","all3","len60",1
1996,"2","1","all3","len64",2
1996,"2","1","all3","len68",10
1996,"2","1","all3","len72",14
1996,"2","1","all3","len76",16
1996,"2","1","all3","len80",29
1996,"2","1","all3","len84",17
1996,"2","1","all3","len88",25
1996,"2","1","all3","len92",27
1996,"2","1","all3","len96",21
1997,"4","1","all3","len100",12
