"year","step","area","age","length","number"
1982,"2","1","all3","len100",24
1982,"2","1","all3","len104",53
1982,"2","1","all3","len108",34
1982,"2","1","all3","len112",35
1982,"2","1","all3","len116",32
1982,"2","1","all3","len120",14
1982,"2","1","all3","len124",15
1982,"2","1","all3","len128",16
1982,"2","1","all3","len132",8
1982,"2","1","all3","len136",3
1982,"2","1","all3","len140",3
1982,"2","1","all3","len144",2
1982,"2","1","all3","len156",2
1982,"2","1","all3","len44",1
1982,"2","1","all3","len84",1
1982,"2","1","all3","len92",3
1982,"2","1","all3","len96",10
1983,"1","1","all3","len100",8
1983,"1","1","all3","len104",12
1983,"1","1","all3","len108",6
1983,"1","1","all3","len112",6
1983,"1","1","all3","len116",7
1983,"1","1","all3","len120",7
1983,"1","1","all3","len124",3
1983,"1","1","all3","len128",3
1983,"1","1","all3","len136",2
1983,"1","1","all3","len140",1
1983,"1","1","all3","len144",1
1983,"1","1","all3","len84",1
1983,"1","1","all3","len96",5
1983,"2","1","all3","len100",5
1983,"2","1","all3","len104",13
1983,"2","1","all3","len108",11
1983,"2","1","all3","len112",11
1983,"2","1","all3","len116",6
1983,"2","1","all3","len120",5
1983,"2","1","all3","len124",1
1983,"2","1","all3","len128",1
1983,"2","1","all3","len136",2
1983,"2","1","all3","len148",1
1983,"2","1","all3","len156",2
1983,"2","1","all3","len84",1
1983,"2","1","all3","len96",5
1992,"2","1","all3","len100",39
1992,"2","1","all3","len104",33
1992,"2","1","all3","len108",16
1992,"2","1","all3","len112",5
1992,"2","1","all3","len116",9
1992,"2","1","all3","len120",3
1992,"2","1","all3","len124",2
1992,"2","1","all3","len136",2
1992,"2","1","all3","len140",1
1992,"2","1","all3","len68",1
1992,"2","1","all3","len72",6
1992,"2","1","all3","len76",3
1992,"2","1","all3","len80",13
1992,"2","1","all3","len84",19
1992,"2","1","all3","len88",39
1992,"2","1","all3","len92",48
1992,"2","1","all3","len96",52
1995,"1","1","all3","len100",25
1995,"1","1","all3","len104",19
1995,"1","1","all3","len108",19
1995,"1","1","all3","len112",19
1995,"1","1","all3","len116",9
1995,"1","1","all3","len120",5
1995,"1","1","all3","len124",5
1995,"1","1","all3","len128",2
1995,"1","1","all3","len132",5
1995,"1","1","all3","len140",4
1995,"1","1","all3","len152",1
1995,"1","1","all3","len72",1
1995,"1","1","all3","len76",2
1995,"1","1","all3","len80",8
1995,"1","1","all3","len84",13
1995,"1","1","all3","len88",25
1995,"1","1","all3","len92",18
1995,"1","1","all3","len96",20
1995,"2","1","all3","len100",27
1995,"2","1","all3","len104",13
1995,"2","1","all3","len108",4
1995,"2","1","all3","len112",9
1995,"2","1","all3","len116",1
1995,"2","1","all3","len124",1
1995,"2","1","all3","len128",1
1995,"2","1","all3","len132",1
1995,"2","1","all3","len72",1
1995,"2","1","all3","len76",4
1995,"2","1","all3","len80",16
1995,"2","1","all3","len84",28
1995,"2","1","all3","len88",53
1995,"2","1","all3","len92",63
1995,"2","1","all3","len96",40
1999,"2","1","all3","len100",21
1999,"2","1","all3","len104",28
1999,"2","1","all3","len108",23
1999,"2","1","all3","len112",19
1999,"2","1","all3","len116",16
1999,"2","1","all3","len120",17
1999,"2","1","all3","len124",8
1999,"2","1","all3","len128",6
1999,"2","1","all3","len132",6
1999,"2","1","all3","len136",2
1999,"2","1","all3","len140",4
1999,"2","1","all3","len144",1
1999,"2","1","all3","len156",1
1999,"2","1","all3","len64",1
1999,"2","1","all3","len72",4
1999,"2","1","all3","len76",5
1999,"2","1","all3","len80",1
1999,"2","1","all3","len84",12
1999,"2","1","all3","len88",5
1999,"2","1","all3","len92",8
1999,"2","1","all3","len96",16
2000,"2","1","all3","len100",55
2000,"2","1","all3","len104",41
2000,"2","1","all3","len108",36
2000,"2","1","all3","len112",27
2000,"2","1","all3","len116",17
2000,"2","1","all3","len120",13
2000,"2","1","all3","len124",7
2000,"2","1","all3","len128",2
2000,"2","1","all3","len132",2
2000,"2","1","all3","len136",1
2000,"2","1","all3","len64",1
2000,"2","1","all3","len68",2
2000,"2","1","all3","len72",3
2000,"2","1","all3","len76",13
2000,"2","1","all3","len80",17
2000,"2","1","all3","len84",39
2000,"2","1","all3","len88",57
2000,"2","1","all3","len92",50
2000,"2","1","all3","len96",68
2000,"4","1","all3","len100",3
2000,"4","1","all3","len104",11
2000,"4","1","all3","len108",13
2000,"4","1","all3","len112",15
2000,"4","1","all3","len116",13
2000,"4","1","all3","len120",9
2000,"4","1","all3","len124",15
2000,"4","1","all3","len128",10
2000,"4","1","all3","len132",5
2000,"4","1","all3","len136",4
2000,"4","1","all3","len140",5
2000,"4","1","all3","len156",2
