"year","step","area","age","length","number"
1994,"4","1","all3","len100",11
1994,"4","1","all3","len104",6
1994,"4","1","all3","len108",9
1994,"4","1","all3","len112",5
1994,"4","1","all3","len116",4
1994,"4","1","all3","len120",2
1994,"4","1","all3","len48",3
1994,"4","1","all3","len52",7
1994,"4","1","all3","len56",12
1994,"4","1","all3","len60",15
1994,"4","1","all3","len64",34
1994,"4","1","all3","len68",37
1994,"4","1","all3","len72",57
1994,"4","1","all3","len76",60
1994,"4","1","all3","len80",49
1994,"4","1","all3","len84",43
1994,"4","1","all3","len88",33
1994,"4","1","all3","len92",19
1994,"4","1","all3","len96",16
1995,"1","1","all3","len100",10
1995,"1","1","all3","len104",8
1995,"1","1","all3","len108",6
1995,"1","1","all3","len112",1
1995,"1","1","all3","len116",4
1995,"1","1","all3","len120",2
1995,"1","1","all3","len124",1
1995,"1","1","all3","len128",1
1995,"1","1","all3","len140",1
1995,"1","1","all3","len144",1
1995,"1","1","all3","len64",2
1995,"1","1","all3","len68",13
1995,"1","1","all3","len72",25
1995,"1","1","all3","len76",32
1995,"1","1","all3","len80",45
1995,"1","1","all3","len84",42
1995,"1","1","all3","len88",45
1995,"1","1","all3","len92",37
1995,"1","1","all3","len96",24
1995,"3","1","all3","len100",16
1995,"3","1","all3","len104",5
1995,"3","1","all3","len108",11
1995,"3","1","all3","len112",9
1995,"3","1","all3","len116",5
1995,"3","1","all3","len120",9
1995,"3","1","all3","len124",5
1995,"3","1","all3","len132",2
1995,"3","1","all3","len136",2
1995,"3","1","all3","len140",1
1995,"3","1","all3","len144",1
1995,"3","1","all3","len148",5
1995,"3","1","all3","len156",1
1995,"3","1","all3","len56",4
1995,"3","1","all3","len60",1
1995,"3","1","all3","len64",2
1995,"3","1","all3","len68",17
1995,"3","1","all3","len72",12
1995,"3","1","all3","len76",38
1995,"3","1","all3","len80",33
1995,"3","1","all3","len84",15
1995,"3","1","all3","len88",25
1995,"3","1","all3","len92",24
1995,"3","1","all3","len96",14
1995,"4","1","all3","len100",35
1995,"4","1","all3","len104",28
1995,"4","1","all3","len108",22
1995,"4","1","all3","len112",12
1995,"4","1","all3","len116",1
1995,"4","1","all3","len120",8
1995,"4","1","all3","len124",4
1995,"4","1","all3","len132",1
1995,"4","1","all3","len136",1
1995,"4","1","all3","len140",1
1995,"4","1","all3","len156",1
1995,"4","1","all3","len60",3
1995,"4","1","all3","len64",8
1995,"4","1","all3","len68",26
1995,"4","1","all3","len72",57
1995,"4","1","all3","len76",66
1995,"4","1","all3","len80",85
1995,"4","1","all3","len84",83
1995,"4","1","all3","len88",63
1995,"4","1","all3","len92",52
1995,"4","1","all3","len96",34
1996,"1","1","all3","len100",19
1996,"1","1","all3","len104",15
1996,"1","1","all3","len108",17
1996,"1","1","all3","len112",6
1996,"1","1","all3","len116",11
1996,"1","1","all3","len120",5
1996,"1","1","all3","len124",3
1996,"1","1","all3","len128",3
1996,"1","1","all3","len132",3
1996,"1","1","all3","len140",1
1996,"1","1","all3","len144",2
1996,"1","1","all3","len40",1
1996,"1","1","all3","len44",1
1996,"1","1","all3","len48",14
1996,"1","1","all3","len52",32
1996,"1","1","all3","len56",43
1996,"1","1","all3","len60",51
1996,"1","1","all3","len64",61
1996,"1","1","all3","len68",77
1996,"1","1","all3","len72",101
1996,"1","1","all3","len76",112
1996,"1","1","all3","len80",95
1996,"1","1","all3","len84",80
1996,"1","1","all3","len88",46
1996,"1","1","all3","len92",35
1996,"1","1","all3","len96",19
1996,"3","1","all3","len100",43
1996,"3","1","all3","len104",43
1996,"3","1","all3","len108",26
1996,"3","1","all3","len112",31
1996,"3","1","all3","len116",22
1996,"3","1","all3","len120",20
1996,"3","1","all3","len124",14
1996,"3","1","all3","len128",8
1996,"3","1","all3","len132",6
1996,"3","1","all3","len136",7
1996,"3","1","all3","len140",3
1996,"3","1","all3","len144",2
1996,"3","1","all3","len148",2
1996,"3","1","all3","len152",2
1996,"3","1","all3","len156",4
1996,"3","1","all3","len60",6
1996,"3","1","all3","len64",5
1996,"3","1","all3","len68",9
1996,"3","1","all3","len72",15
1996,"3","1","all3","len76",29
1996,"3","1","all3","len80",34
1996,"3","1","all3","len84",38
1996,"3","1","all3","len88",43
1996,"3","1","all3","len92",41
1996,"3","1","all3","len96",47
1996,"4","1","all3","len100",30
1996,"4","1","all3","len104",24
1996,"4","1","all3","len108",15
1996,"4","1","all3","len112",16
1996,"4","1","all3","len116",14
1996,"4","1","all3","len120",10
1996,"4","1","all3","len124",4
1996,"4","1","all3","len128",3
1996,"4","1","all3","len132",2
1996,"4","1","all3","len136",6
1996,"4","1","all3","len140",2
1996,"4","1","all3","len144",2
1996,"4","1","all3","len148",4
1996,"4","1","all3","len152",4
1996,"4","1","all3","len156",1
1996,"4","1","all3","len40",1
1996,"4","1","all3","len44",3
1996,"4","1","all3","len48",2
1996,"4","1","all3","len52",3
1996,"4","1","all3","len56",10
1996,"4","1","all3","len60",16
1996,"4","1","all3","len64",29
1996,"4","1","all3","len68",40
1996,"4","1","all3","len72",80
1996,"4","1","all3","len76",123
1996,"4","1","all3","len80",120
1996,"4","1","all3","len84",124
1996,"4","1","all3","len88",95
1996,"4","1","all3","len92",44
1996,"4","1","all3","len96",40
1997,"1","1","all3","len100",16
1997,"1","1","all3","len104",21
1997,"1","1","all3","len108",11
1997,"1","1","all3","len112",9
1997,"1","1","all3","len116",2
1997,"1","1","all3","len120",3
1997,"1","1","all3","len124",3
1997,"1","1","all3","len136",1
1997,"1","1","all3","len148",1
1997,"1","1","all3","len44",1
1997,"1","1","all3","len48",14
1997,"1","1","all3","len52",56
1997,"1","1","all3","len56",113
1997,"1","1","all3","len60",93
1997,"1","1","all3","len64",58
1997,"1","1","all3","len68",53
1997,"1","1","all3","len72",55
1997,"1","1","all3","len76",66
1997,"1","1","all3","len80",87
1997,"1","1","all3","len84",83
1997,"1","1","all3","len88",66
1997,"1","1","all3","len92",55
1997,"1","1","all3","len96",33
1997,"2","1","all3","len100",15
1997,"2","1","all3","len104",16
1997,"2","1","all3","len108",4
1997,"2","1","all3","len112",4
1997,"2","1","all3","len116",4
1997,"2","1","all3","len120",7
1997,"2","1","all3","len148",1
1997,"2","1","all3","len156",1
1997,"2","1","all3","len60",2
1997,"2","1","all3","len64",1
1997,"2","1","all3","len68",14
1997,"2","1","all3","len72",19
1997,"2","1","all3","len76",30
1997,"2","1","all3","len80",47
1997,"2","1","all3","len84",48
1997,"2","1","all3","len88",39
1997,"2","1","all3","len92",34
1997,"2","1","all3","len96",14
1997,"3","1","all3","len100",44
1997,"3","1","all3","len104",25
1997,"3","1","all3","len108",26
1997,"3","1","all3","len112",20
1997,"3","1","all3","len116",15
1997,"3","1","all3","len120",7
1997,"3","1","all3","len124",10
1997,"3","1","all3","len128",1
1997,"3","1","all3","len132",1
1997,"3","1","all3","len136",2
1997,"3","1","all3","len144",1
1997,"3","1","all3","len48",6
1997,"3","1","all3","len52",5
1997,"3","1","all3","len56",18
1997,"3","1","all3","len60",20
1997,"3","1","all3","len64",34
1997,"3","1","all3","len68",31
1997,"3","1","all3","len72",42
1997,"3","1","all3","len76",40
1997,"3","1","all3","len80",70
1997,"3","1","all3","len84",81
1997,"3","1","all3","len88",86
1997,"3","1","all3","len92",69
1997,"3","1","all3","len96",51
1997,"4","1","all3","len100",28
1997,"4","1","all3","len104",26
1997,"4","1","all3","len108",13
1997,"4","1","all3","len112",10
1997,"4","1","all3","len116",3
1997,"4","1","all3","len120",4
1997,"4","1","all3","len124",2
1997,"4","1","all3","len128",1
1997,"4","1","all3","len136",1
1997,"4","1","all3","len156",1
1997,"4","1","all3","len28",1
1997,"4","1","all3","len56",2
1997,"4","1","all3","len60",6
1997,"4","1","all3","len64",23
1997,"4","1","all3","len68",27
1997,"4","1","all3","len72",32
1997,"4","1","all3","len76",51
1997,"4","1","all3","len80",37
1997,"4","1","all3","len84",61
1997,"4","1","all3","len88",64
1997,"4","1","all3","len92",40
1997,"4","1","all3","len96",34
1998,"1","1","all3","len100",21
1998,"1","1","all3","len104",9
1998,"1","1","all3","len108",6
1998,"1","1","all3","len112",2
1998,"1","1","all3","len116",3
1998,"1","1","all3","len120",2
1998,"1","1","all3","len124",1
1998,"1","1","all3","len52",3
1998,"1","1","all3","len56",16
1998,"1","1","all3","len60",37
1998,"1","1","all3","len64",46
1998,"1","1","all3","len68",63
1998,"1","1","all3","len72",90
1998,"1","1","all3","len76",85
1998,"1","1","all3","len80",68
1998,"1","1","all3","len84",53
1998,"1","1","all3","len88",43
1998,"1","1","all3","len92",23
1998,"1","1","all3","len96",28
1998,"2","1","all3","len100",61
1998,"2","1","all3","len104",45
1998,"2","1","all3","len108",27
1998,"2","1","all3","len112",32
1998,"2","1","all3","len116",15
1998,"2","1","all3","len120",5
1998,"2","1","all3","len124",2
1998,"2","1","all3","len128",1
1998,"2","1","all3","len136",2
1998,"2","1","all3","len52",1
1998,"2","1","all3","len60",6
1998,"2","1","all3","len64",13
1998,"2","1","all3","len68",33
1998,"2","1","all3","len72",64
1998,"2","1","all3","len76",54
1998,"2","1","all3","len80",75
1998,"2","1","all3","len84",80
1998,"2","1","all3","len88",97
1998,"2","1","all3","len92",80
1998,"2","1","all3","len96",51
1998,"3","1","all3","len100",25
1998,"3","1","all3","len104",14
1998,"3","1","all3","len108",10
1998,"3","1","all3","len112",6
1998,"3","1","all3","len116",1
1998,"3","1","all3","len120",3
1998,"3","1","all3","len124",3
1998,"3","1","all3","len128",3
1998,"3","1","all3","len132",1
1998,"3","1","all3","len136",1
1998,"3","1","all3","len140",1
1998,"3","1","all3","len144",1
1998,"3","1","all3","len148",1
1998,"3","1","all3","len44",1
1998,"3","1","all3","len48",1
1998,"3","1","all3","len52",1
1998,"3","1","all3","len56",1
1998,"3","1","all3","len60",3
1998,"3","1","all3","len64",2
1998,"3","1","all3","len68",6
1998,"3","1","all3","len72",28
1998,"3","1","all3","len76",32
1998,"3","1","all3","len80",41
1998,"3","1","all3","len84",41
1998,"3","1","all3","len88",26
1998,"3","1","all3","len92",24
1998,"3","1","all3","len96",23
1998,"4","1","all3","len100",69
1998,"4","1","all3","len104",45
1998,"4","1","all3","len108",23
1998,"4","1","all3","len112",18
1998,"4","1","all3","len116",15
1998,"4","1","all3","len120",2
1998,"4","1","all3","len124",11
1998,"4","1","all3","len128",4
1998,"4","1","all3","len132",4
1998,"4","1","all3","len136",4
1998,"4","1","all3","len148",1
1998,"4","1","all3","len156",2
1998,"4","1","all3","len32",1
1998,"4","1","all3","len48",6
1998,"4","1","all3","len52",15
1998,"4","1","all3","len56",27
1998,"4","1","all3","len60",39
1998,"4","1","all3","len64",57
1998,"4","1","all3","len68",68
1998,"4","1","all3","len72",82
1998,"4","1","all3","len76",96
1998,"4","1","all3","len80",116
1998,"4","1","all3","len84",111
1998,"4","1","all3","len88",76
1998,"4","1","all3","len92",66
1998,"4","1","all3","len96",51
1999,"1","1","all3","len100",28
1999,"1","1","all3","len104",26
1999,"1","1","all3","len108",13
1999,"1","1","all3","len112",12
1999,"1","1","all3","len116",6
1999,"1","1","all3","len120",5
1999,"1","1","all3","len124",2
1999,"1","1","all3","len128",1
1999,"1","1","all3","len132",1
1999,"1","1","all3","len148",1
1999,"1","1","all3","len156",1
1999,"1","1","all3","len44",1
1999,"1","1","all3","len48",6
1999,"1","1","all3","len52",24
1999,"1","1","all3","len56",39
1999,"1","1","all3","len60",66
1999,"1","1","all3","len64",75
1999,"1","1","all3","len68",70
1999,"1","1","all3","len72",79
1999,"1","1","all3","len76",81
1999,"1","1","all3","len80",99
1999,"1","1","all3","len84",96
1999,"1","1","all3","len88",83
1999,"1","1","all3","len92",45
1999,"1","1","all3","len96",40
1999,"2","1","all3","len100",23
1999,"2","1","all3","len104",21
1999,"2","1","all3","len108",18
1999,"2","1","all3","len112",7
1999,"2","1","all3","len116",3
1999,"2","1","all3","len120",4
1999,"2","1","all3","len124",1
1999,"2","1","all3","len128",2
1999,"2","1","all3","len132",2
1999,"2","1","all3","len156",1
1999,"2","1","all3","len60",2
1999,"2","1","all3","len64",18
1999,"2","1","all3","len68",45
1999,"2","1","all3","len72",43
1999,"2","1","all3","len76",42
1999,"2","1","all3","len80",44
1999,"2","1","all3","len84",41
1999,"2","1","all3","len88",49
1999,"2","1","all3","len92",28
1999,"2","1","all3","len96",23
1999,"3","1","all3","len100",39
1999,"3","1","all3","len104",26
1999,"3","1","all3","len108",26
1999,"3","1","all3","len112",14
1999,"3","1","all3","len116",24
1999,"3","1","all3","len120",11
1999,"3","1","all3","len124",6
1999,"3","1","all3","len128",4
1999,"3","1","all3","len132",2
1999,"3","1","all3","len136",4
1999,"3","1","all3","len140",4
1999,"3","1","all3","len144",1
1999,"3","1","all3","len152",2
1999,"3","1","all3","len68",2
1999,"3","1","all3","len72",2
1999,"3","1","all3","len76",10
1999,"3","1","all3","len80",12
1999,"3","1","all3","len84",18
1999,"3","1","all3","len88",28
1999,"3","1","all3","len92",28
1999,"3","1","all3","len96",37
1999,"4","1","all3","len100",17
1999,"4","1","all3","len104",16
1999,"4","1","all3","len108",9
1999,"4","1","all3","len112",16
1999,"4","1","all3","len116",8
1999,"4","1","all3","len120",5
1999,"4","1","all3","len140",1
1999,"4","1","all3","len148",1
1999,"4","1","all3","len40",1
1999,"4","1","all3","len60",3
1999,"4","1","all3","len64",5
1999,"4","1","all3","len68",15
1999,"4","1","all3","len72",15
1999,"4","1","all3","len76",23
1999,"4","1","all3","len80",44
1999,"4","1","all3","len84",36
1999,"4","1","all3","len88",38
1999,"4","1","all3","len92",29
1999,"4","1","all3","len96",33
2000,"1","1","all3","len100",17
2000,"1","1","all3","len104",9
2000,"1","1","all3","len108",5
2000,"1","1","all3","len112",2
2000,"1","1","all3","len116",5
2000,"1","1","all3","len120",4
2000,"1","1","all3","len124",4
2000,"1","1","all3","len128",5
2000,"1","1","all3","len140",2
2000,"1","1","all3","len144",1
2000,"1","1","all3","len56",4
2000,"1","1","all3","len60",9
2000,"1","1","all3","len64",8
2000,"1","1","all3","len68",6
2000,"1","1","all3","len72",6
2000,"1","1","all3","len76",3
2000,"1","1","all3","len80",10
2000,"1","1","all3","len84",14
2000,"1","1","all3","len88",21
2000,"1","1","all3","len92",13
2000,"1","1","all3","len96",15
2000,"2","1","all3","len100",54
2000,"2","1","all3","len104",47
2000,"2","1","all3","len108",37
2000,"2","1","all3","len112",31
2000,"2","1","all3","len116",13
2000,"2","1","all3","len120",14
2000,"2","1","all3","len124",13
2000,"2","1","all3","len128",13
2000,"2","1","all3","len132",3
2000,"2","1","all3","len136",2
2000,"2","1","all3","len144",3
2000,"2","1","all3","len148",2
2000,"2","1","all3","len152",1
2000,"2","1","all3","len156",4
2000,"2","1","all3","len52",5
2000,"2","1","all3","len56",9
2000,"2","1","all3","len60",24
2000,"2","1","all3","len64",31
2000,"2","1","all3","len68",44
2000,"2","1","all3","len72",46
2000,"2","1","all3","len76",55
