"year","step","area","age","length","number"
1985,"2","1","all3","len100",18
1985,"2","1","all3","len104",8
1985,"2","1","all3","len108",7
1985,"2","1","all3","len112",6
1985,"2","1","all3","len116",3
1985,"2","1","all3","len120",4
1985,"2","1","all3","len124",3
1985,"2","1","all3","len128",2
1985,"2","1","all3","len132",1
1985,"2","1","all3","len140",2
1985,"2","1","all3","len148",1
1985,"2","1","all3","len156",2
1985,"2","1","all3","len24",1
1985,"2","1","all3","len32",2
1985,"2","1","all3","len36",3
1985,"2","1","all3","len40",4
1985,"2","1","all3","len44",4
1985,"2","1","all3","len48",10
1985,"2","1","all3","len52",12
1985,"2","1","all3","len56",14
1985,"2","1","all3","len60",21
1985,"2","1","all3","len64",27
1985,"2","1","all3","len68",18
1985,"2","1","all3","len72",31
1985,"2","1","all3","len76",46
1985,"2","1","all3","len80",39
1985,"2","1","all3","len84",26
1985,"2","1","all3","len88",20
1985,"2","1","all3","len92",21
1985,"2","1","all3","len96",19
1986,"2","1","all3","len100",14.0455
1986,"2","1","all3","len104",13
1986,"2","1","all3","len108",4
1986,"2","1","all3","len112",4
1986,"2","1","all3","len116",5
1986,"2","1","all3","len120",3
1986,"2","1","all3","len124",3
1986,"2","1","all3","len128",1
1986,"2","1","all3","len132",1
1986,"2","1","all3","len148",1
1986,"2","1","all3","len156",3
1986,"2","1","all3","len20",1
1986,"2","1","all3","len28",3
1986,"2","1","all3","len32",4
1986,"2","1","all3","len36",8
1986,"2","1","all3","len40",8
1986,"2","1","all3","len44",3
1986,"2","1","all3","len48",10.0455
1986,"2","1","all3","len52",15
1986,"2","1","all3","len56",25
1986,"2","1","all3","len60",29.0455
1986,"2","1","all3","len64",32.2273
1986,"2","1","all3","len68",41.2273
1986,"2","1","all3","len72",56.2727
1986,"2","1","all3","len76",63.3182
1986,"2","1","all3","len80",67.4091
1986,"2","1","all3","len84",45.1364
1986,"2","1","all3","len88",37.1364
1986,"2","1","all3","len92",33.0909
1986,"2","1","all3","len96",15.0455
1987,"2","1","all3","len100",14
1987,"2","1","all3","len104",8
1987,"2","1","all3","len108",7
1987,"2","1","all3","len112",2
1987,"2","1","all3","len116",2
1987,"2","1","all3","len120",1
1987,"2","1","all3","len128",3
1987,"2","1","all3","len132",1
1987,"2","1","all3","len136",1
1987,"2","1","all3","len156",2
1987,"2","1","all3","len24",2
1987,"2","1","all3","len28",9
1987,"2","1","all3","len32",3
1987,"2","1","all3","len36",2
1987,"2","1","all3","len40",1
1987,"2","1","all3","len44",4
1987,"2","1","all3","len48",3
1987,"2","1","all3","len52",3
1987,"2","1","all3","len56",12
1987,"2","1","all3","len60",32
1987,"2","1","all3","len64",20
1987,"2","1","all3","len68",34
1987,"2","1","all3","len72",33
1987,"2","1","all3","len76",40
1987,"2","1","all3","len80",36
1987,"2","1","all3","len84",45
1987,"2","1","all3","len88",34
1987,"2","1","all3","len92",19
1987,"2","1","all3","len96",13
1988,"2","1","all3","len100",12
1988,"2","1","all3","len104",11
1988,"2","1","all3","len108",2
1988,"2","1","all3","len112",1
1988,"2","1","all3","len116",2
1988,"2","1","all3","len124",1
1988,"2","1","all3","len128",1
1988,"2","1","all3","len132",1
1988,"2","1","all3","len148",1
1988,"2","1","all3","len156",1
1988,"2","1","all3","len20",1
1988,"2","1","all3","len28",1
1988,"2","1","all3","len32",5
1988,"2","1","all3","len36",5
1988,"2","1","all3","len40",4
1988,"2","1","all3","len44",7
1988,"2","1","all3","len48",5
1988,"2","1","all3","len52",8
1988,"2","1","all3","len56",13
1988,"2","1","all3","len60",11
1988,"2","1","all3","len64",22
1988,"2","1","all3","len68",30
1988,"2","1","all3","len72",35
1988,"2","1","all3","len76",29
1988,"2","1","all3","len80",27
1988,"2","1","all3","len84",20
1988,"2","1","all3","len88",28
1988,"2","1","all3","len92",22
1988,"2","1","all3","len96",15
1989,"2","1","all3","len100",21.4
1989,"2","1","all3","len104",14
1989,"2","1","all3","len108",5
1989,"2","1","all3","len112",8
1989,"2","1","all3","len116",7
1989,"2","1","all3","len120",3
1989,"2","1","all3","len128",2
1989,"2","1","all3","len148",1
1989,"2","1","all3","len156",1
1989,"2","1","all3","len28",1
1989,"2","1","all3","len32",1
1989,"2","1","all3","len36",6
1989,"2","1","all3","len40",8
1989,"2","1","all3","len44",10
1989,"2","1","all3","len48",20
1989,"2","1","all3","len52",19
1989,"2","1","all3","len56",20.4
1989,"2","1","all3","len60",13
1989,"2","1","all3","len64",24.4
1989,"2","1","all3","len68",32
1989,"2","1","all3","len72",42.4
1989,"2","1","all3","len76",45
1989,"2","1","all3","len80",57.4
1989,"2","1","all3","len84",39.8
1989,"2","1","all3","len88",30.4
1989,"2","1","all3","len92",33.4
1989,"2","1","all3","len96",27.4
1990,"2","1","all3","len100",8
1990,"2","1","all3","len104",9
1990,"2","1","all3","len108",8
1990,"2","1","all3","len112",2
1990,"2","1","all3","len116",2
1990,"2","1","all3","len120",3
1990,"2","1","all3","len124",1
1990,"2","1","all3","len128",2
1990,"2","1","all3","len148",1
1990,"2","1","all3","len152",1
1990,"2","1","all3","len156",2
1990,"2","1","all3","len20",1
1990,"2","1","all3","len32",2
1990,"2","1","all3","len36",1
1990,"2","1","all3","len40",8
1990,"2","1","all3","len44",12
1990,"2","1","all3","len48",11
1990,"2","1","all3","len52",11
1990,"2","1","all3","len56",16
1990,"2","1","all3","len60",21
1990,"2","1","all3","len64",23
1990,"2","1","all3","len68",22
1990,"2","1","all3","len72",32
1990,"2","1","all3","len76",24
1990,"2","1","all3","len80",36
1990,"2","1","all3","len84",19
1990,"2","1","all3","len88",14
1990,"2","1","all3","len92",18
1990,"2","1","all3","len96",24
1991,"2","1","all3","len100",4
1991,"2","1","all3","len104",7
1991,"2","1","all3","len108",8
1991,"2","1","all3","len112",5
1991,"2","1","all3","len116",5
1991,"2","1","all3","len120",2
1991,"2","1","all3","len124",1
1991,"2","1","all3","len128",2
1991,"2","1","all3","len140",1
1991,"2","1","all3","len28",2
1991,"2","1","all3","len32",1
1991,"2","1","all3","len40",2
1991,"2","1","all3","len44",4
1991,"2","1","all3","len48",9
1991,"2","1","all3","len52",29
1991,"2","1","all3","len56",37
1991,"2","1","all3","len60",36
1991,"2","1","all3","len64",32
1991,"2","1","all3","len68",28
1991,"2","1","all3","len72",27
1991,"2","1","all3","len76",18
1991,"2","1","all3","len80",18
1991,"2","1","all3","len84",18
1991,"2","1","all3","len88",12
1991,"2","1","all3","len92",11
1991,"2","1","all3","len96",10
1992,"2","1","all3","len100",10
1992,"2","1","all3","len104",8
1992,"2","1","all3","len108",10
1992,"2","1","all3","len112",7
1992,"2","1","all3","len116",2
1992,"2","1","all3","len120",3
