"year","step","area","maturity_stage","age","length","number"
1990,"2","1","lingimm","mat_ages","len100",4
1990,"2","1","lingimm","mat_ages","len108",1
1990,"2","1","lingimm","mat_ages","len124",1
1990,"2","1","lingimm","mat_ages","len28",1
1990,"2","1","lingimm","mat_ages","len36",3
1990,"2","1","lingimm","mat_ages","len44",10
1990,"2","1","lingimm","mat_ages","len52",12
1990,"2","1","lingimm","mat_ages","len60",16
1990,"2","1","lingimm","mat_ages","len68",10
1990,"2","1","lingimm","mat_ages","len76",8
1990,"2","1","lingimm","mat_ages","len84",2
1990,"2","1","lingimm","mat_ages","len92",4
1990,"2","1","lingmat","mat_ages","len100",8
1990,"2","1","lingmat","mat_ages","len108",3
1990,"2","1","lingmat","mat_ages","len52",1
1990,"2","1","lingmat","mat_ages","len60",1
1990,"2","1","lingmat","mat_ages","len68",8
1990,"2","1","lingmat","mat_ages","len76",10
1990,"2","1","lingmat","mat_ages","len84",12
1990,"2","1","lingmat","mat_ages","len92",13
1991,"2","1","lingimm","mat_ages","len100",2
1991,"2","1","lingimm","mat_ages","len36",1
1991,"2","1","lingimm","mat_ages","len44",4
1991,"2","1","lingimm","mat_ages","len52",26
1991,"2","1","lingimm","mat_ages","len60",22
1991,"2","1","lingimm","mat_ages","len68",15
1991,"2","1","lingimm","mat_ages","len76",11
1991,"2","1","lingimm","mat_ages","len84",6
1991,"2","1","lingimm","mat_ages","len92",3
1991,"2","1","lingmat","mat_ages","len100",3
1991,"2","1","lingmat","mat_ages","len108",6
1991,"2","1","lingmat","mat_ages","len116",5
1991,"2","1","lingmat","mat_ages","len124",2
1991,"2","1","lingmat","mat_ages","len60",4
1991,"2","1","lingmat","mat_ages","len68",8
1991,"2","1","lingmat","mat_ages","len76",6
1991,"2","1","lingmat","mat_ages","len84",5
1991,"2","1","lingmat","mat_ages","len92",8
1992,"2","1","lingimm","mat_ages","len100",2
1992,"2","1","lingimm","mat_ages","len20",1
1992,"2","1","lingimm","mat_ages","len28",1
1992,"2","1","lingimm","mat_ages","len44",2
1992,"2","1","lingimm","mat_ages","len52",13
1992,"2","1","lingimm","mat_ages","len60",11
1992,"2","1","lingimm","mat_ages","len68",16
1992,"2","1","lingimm","mat_ages","len76",5
1992,"2","1","lingimm","mat_ages","len84",7
1992,"2","1","lingimm","mat_ages","len92",1
1992,"2","1","lingmat","mat_ages","len100",4
1992,"2","1","lingmat","mat_ages","len108",9
1992,"2","1","lingmat","mat_ages","len116",2
1992,"2","1","lingmat","mat_ages","len52",1
1992,"2","1","lingmat","mat_ages","len60",7
1992,"2","1","lingmat","mat_ages","len68",11
1992,"2","1","lingmat","mat_ages","len76",12
1992,"2","1","lingmat","mat_ages","len84",10
1992,"2","1","lingmat","mat_ages","len92",5
1993,"2","1","lingimm","mat_ages","len100",1
1993,"2","1","lingimm","mat_ages","len44",1
1993,"2","1","lingimm","mat_ages","len52",8
1993,"2","1","lingimm","mat_ages","len60",14
1993,"2","1","lingimm","mat_ages","len68",19
1993,"2","1","lingimm","mat_ages","len76",6
1993,"2","1","lingimm","mat_ages","len92",1
1993,"2","1","lingmat","mat_ages","len100",3
1993,"2","1","lingmat","mat_ages","len108",5
1993,"2","1","lingmat","mat_ages","len116",3
1993,"2","1","lingmat","mat_ages","len132",1
1993,"2","1","lingmat","mat_ages","len52",3
1993,"2","1","lingmat","mat_ages","len60",9
1993,"2","1","lingmat","mat_ages","len68",7
1993,"2","1","lingmat","mat_ages","len76",10
1993,"2","1","lingmat","mat_ages","len84",3
1993,"2","1","lingmat","mat_ages","len92",3
1994,"2","1","lingimm","mat_ages","len28",1
1994,"2","1","lingimm","mat_ages","len44",1
1994,"2","1","lingimm","mat_ages","len52",3
1994,"2","1","lingimm","mat_ages","len60",3
1994,"2","1","lingimm","mat_ages","len68",14
1994,"2","1","lingimm","mat_ages","len76",7
1994,"2","1","lingimm","mat_ages","len84",3
1994,"2","1","lingimm","mat_ages","len92",3
1994,"2","1","lingmat","mat_ages","len100",11
1994,"2","1","lingmat","mat_ages","len108",5
1994,"2","1","lingmat","mat_ages","len116",1
1994,"2","1","lingmat","mat_ages","len52",1
1994,"2","1","lingmat","mat_ages","len60",1
1994,"2","1","lingmat","mat_ages","len68",4
1994,"2","1","lingmat","mat_ages","len76",9
1994,"2","1","lingmat","mat_ages","len84",13
1994,"2","1","lingmat","mat_ages","len92",13
1995,"2","1","lingimm","mat_ages","len100",1
1995,"2","1","lingimm","mat_ages","len20",1
1995,"2","1","lingimm","mat_ages","len28",2
1995,"2","1","lingimm","mat_ages","len36",4
1995,"2","1","lingimm","mat_ages","len44",9
1995,"2","1","lingimm","mat_ages","len52",5
1995,"2","1","lingimm","mat_ages","len60",14
1995,"2","1","lingimm","mat_ages","len68",14
1995,"2","1","lingimm","mat_ages","len76",8
1995,"2","1","lingimm","mat_ages","len84",4
1995,"2","1","lingimm","mat_ages","len92",1
1995,"2","1","lingmat","mat_ages","len100",11
1995,"2","1","lingmat","mat_ages","len108",2
1995,"2","1","lingmat","mat_ages","len116",2
1995,"2","1","lingmat","mat_ages","len124",2
1995,"2","1","lingmat","mat_ages","len132",1
1995,"2","1","lingmat","mat_ages","len52",1
1995,"2","1","lingmat","mat_ages","len60",8
1995,"2","1","lingmat","mat_ages","len68",11
1995,"2","1","lingmat","mat_ages","len76",23
1995,"2","1","lingmat","mat_ages","len84",15
1995,"2","1","lingmat","mat_ages","len92",17
1996,"2","1","lingimm","mat_ages","len116",1
