; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1994	1	1	bmt	160929
1994	2	1	bmt	539333
1994	3	1	bmt	439132
1994	4	1	bmt	146473
1995	1	1	bmt	203106
1995	2	1	bmt	546220
1995	3	1	bmt	424711
1995	4	1	bmt	193690
1996	1	1	bmt	188390
1996	2	1	bmt	536681
1996	3	1	bmt	285922
1996	4	1	bmt	138904
1997	1	1	bmt	162274
1997	2	1	bmt	497702
1997	3	1	bmt	182589
1997	4	1	bmt	163425
1998	1	1	bmt	101312
1998	2	1	bmt	552067
1998	3	1	bmt	260090
1998	4	1	bmt	137964
1999	1	1	bmt	267713
1999	2	1	bmt	457640
1999	3	1	bmt	258553
1999	4	1	bmt	156334
2000	1	1	bmt	257172
2000	2	1	bmt	397770
2000	3	1	bmt	148069
2000	4	1	bmt	151457
2001	1	1	bmt	211969
2001	2	1	bmt	243637
2001	3	1	bmt	151067
2001	4	1	bmt	105446
2002	1	1	bmt	221435
2002	2	1	bmt	371359
2002	3	1	bmt	215775
2002	4	1	bmt	106785
2003	1	1	bmt	176514
2003	2	1	bmt	359961
2003	3	1	bmt	285961
2003	4	1	bmt	106553
2004	1	1	bmt	186351
2004	2	1	bmt	511102
2004	3	1	bmt	333220
2004	4	1	bmt	139994
2005	1	1	bmt	267676
2005	2	1	bmt	802063
2005	3	1	bmt	483385
2005	4	1	bmt	217931
2006	1	1	bmt	345191
2006	2	1	bmt	854187
2006	3	1	bmt	483558
2006	4	1	bmt	253831
2007	1	1	bmt	290585
2007	2	1	bmt	779898
2007	3	1	bmt	571064
2007	4	1	bmt	267338
2008	1	1	bmt	417254
2008	2	1	bmt	947129
2008	3	1	bmt	533363
2008	4	1	bmt	318589
2009	1	1	bmt	485165
2009	2	1	bmt	1059200
2009	3	1	bmt	709013
2009	4	1	bmt	372879
2010	1	1	bmt	458316
2010	2	1	bmt	1104460
2010	3	1	bmt	930299
2010	4	1	bmt	456417
2011	1	1	bmt	588713
2011	2	1	bmt	1077570
2011	3	1	bmt	757104
2011	4	1	bmt	531303
2012	1	1	bmt	448612
2012	2	1	bmt	1194320
2012	3	1	bmt	842701
2012	4	1	bmt	454756
2013	1	1	bmt	486312
2013	2	1	bmt	1422990
2013	3	1	bmt	689598
2013	4	1	bmt	455630
2014	1	1	bmt	657713
2014	2	1	bmt	1253910
2014	3	1	bmt	626923
2014	4	1	bmt	380437
2015	1	1	bmt	540902
2015	2	1	bmt	1520530
2015	3	1	bmt	662564
2015	4	1	bmt	388822
2016	1	1	bmt	605563
2016	2	1	bmt	1096740
2016	3	1	bmt	569222
2016	4	1	bmt	367198
2017	1	1	bmt	322275
2017	2	1	bmt	1157380
2017	3	1	bmt	454978
2017	4	1	bmt	289074
2018	1	1	bmt	436327
2018	2	1	bmt	1046400
2018	3	1	bmt	485010
2018	4	1	bmt	323588
