; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1982	1	1	foreign	313000
1982	2	1	foreign	313000
1982	3	1	foreign	313000
1982	4	1	foreign	313000
1983	1	1	foreign	221750
1983	2	1	foreign	221750
1983	3	1	foreign	221750
1983	4	1	foreign	221750
1984	1	1	foreign	143562
1984	2	1	foreign	143562
1984	3	1	foreign	143562
1984	4	1	foreign	143562
1985	1	1	foreign	115000
1985	2	1	foreign	115000
1985	3	1	foreign	115000
1985	4	1	foreign	115000
1986	1	1	foreign	162000
1986	2	1	foreign	162000
1986	3	1	foreign	162000
1986	4	1	foreign	162000
1987	1	1	foreign	205000
1987	2	1	foreign	205000
1987	3	1	foreign	205000
1987	4	1	foreign	205000
1988	1	1	foreign	190750
1988	2	1	foreign	190750
1988	3	1	foreign	190750
1988	4	1	foreign	190750
1989	1	1	foreign	178500
1989	2	1	foreign	178500
1989	3	1	foreign	178500
1989	4	1	foreign	178500
1990	1	1	foreign	110250
1990	2	1	foreign	110250
1990	3	1	foreign	110250
1990	4	1	foreign	110250
1991	1	1	foreign	149750
1991	2	1	foreign	149750
1991	3	1	foreign	149750
1991	4	1	foreign	149750
1992	1	1	foreign	140000
1992	2	1	foreign	140000
1992	3	1	foreign	140000
1992	4	1	foreign	140000
1993	1	1	foreign	130250
1993	2	1	foreign	130250
1993	3	1	foreign	130250
1993	4	1	foreign	130250
1994	1	1	foreign	137750
1994	2	1	foreign	137750
1994	3	1	foreign	137750
1994	4	1	foreign	137750
1995	1	1	foreign	115750
1995	2	1	foreign	115750
1995	3	1	foreign	115750
1995	4	1	foreign	115750
1996	1	1	foreign	94500
1996	2	1	foreign	94500
1996	3	1	foreign	94500
1996	4	1	foreign	94500
1997	1	1	foreign	74750
1997	2	1	foreign	74750
1997	3	1	foreign	74750
1997	4	1	foreign	74750
1998	1	1	foreign	174750
1998	2	1	foreign	174750
1998	3	1	foreign	174750
1998	4	1	foreign	174750
1999	1	1	foreign	155000
1999	2	1	foreign	155000
1999	3	1	foreign	155000
1999	4	1	foreign	155000
2000	1	1	foreign	16750
2000	2	1	foreign	16750
2000	3	1	foreign	16750
2000	4	1	foreign	16750
2001	1	1	foreign	121000
2001	2	1	foreign	121000
2001	3	1	foreign	121000
2001	4	1	foreign	121000
2002	1	1	foreign	418500
2002	2	1	foreign	418500
2002	3	1	foreign	418500
2002	4	1	foreign	418500
2003	1	1	foreign	169750
2003	2	1	foreign	169750
2003	3	1	foreign	169750
2003	4	1	foreign	169750
2004	1	1	foreign	220250
2004	2	1	foreign	220250
2004	3	1	foreign	220250
2004	4	1	foreign	220250
2005	1	1	foreign	216250
2005	2	1	foreign	216250
2005	3	1	foreign	216250
2005	4	1	foreign	216250
2006	1	1	foreign	280250
2006	2	1	foreign	280250
2006	3	1	foreign	280250
2006	4	1	foreign	280250
2007	1	1	foreign	248000
2007	2	1	foreign	248000
2007	3	1	foreign	248000
2007	4	1	foreign	248000
2008	1	1	foreign	385500
2008	2	1	foreign	385500
2008	3	1	foreign	385500
2008	4	1	foreign	385500
2009	1	1	foreign	332250
2009	2	1	foreign	332250
2009	3	1	foreign	332250
2009	4	1	foreign	332250
2010	1	1	foreign	315750
2010	2	1	foreign	315750
2010	3	1	foreign	315750
2010	4	1	foreign	315750
2011	1	1	foreign	209250
2011	2	1	foreign	209250
2011	3	1	foreign	209250
2011	4	1	foreign	209250
2012	1	1	foreign	280750
2012	2	1	foreign	280750
2012	3	1	foreign	280750
2012	4	1	foreign	280750
2013	1	1	foreign	331000
2013	2	1	foreign	331000
2013	3	1	foreign	331000
2013	4	1	foreign	331000
2014	1	1	foreign	182930
2014	2	1	foreign	794257
2014	3	1	foreign	540276
2014	4	1	foreign	379054
2015	1	1	foreign	162796
2015	2	1	foreign	881945
2015	3	1	foreign	289922
2015	4	1	foreign	148593
2016	1	1	foreign	242107
2016	2	1	foreign	821863
2016	3	1	foreign	182670
2016	4	1	foreign	54645
2017	1	1	foreign	228019
2017	2	1	foreign	729779
2017	3	1	foreign	113371
2017	4	1	foreign	1969
2018	1	1	foreign	402946
2018	2	1	foreign	725579
2018	3	1	foreign	156340
2018	4	1	foreign	21015
