; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1994	1	1	gil	240190
1994	2	1	gil	728988
1994	3	1	gil	207009
1994	4	1	gil	108911
1995	1	1	gil	190836
1995	2	1	gil	321821
1995	3	1	gil	173938
1995	4	1	gil	137859
1996	1	1	gil	146092
1996	2	1	gil	315130
1996	3	1	gil	82842
1996	4	1	gil	119141
1997	1	1	gil	89565
1997	2	1	gil	219650
1997	3	1	gil	95600
1997	4	1	gil	111992
1998	1	1	gil	114508
1998	2	1	gil	393528
1998	3	1	gil	113597
1998	4	1	gil	63351
1999	1	1	gil	178823
1999	2	1	gil	366431
1999	3	1	gil	70314
1999	4	1	gil	66010
2000	1	1	gil	127720
2000	2	1	gil	441940
2000	3	1	gil	57638
2000	4	1	gil	76944
2001	1	1	gil	230567
2001	2	1	gil	655028
2001	3	1	gil	115642
2001	4	1	gil	60124
2002	1	1	gil	160239
2002	2	1	gil	414999
2002	3	1	gil	23885
2002	4	1	gil	48756
2003	1	1	gil	129607
2003	2	1	gil	250984
2003	3	1	gil	19247
2003	4	1	gil	54914
2004	1	1	gil	140449
2004	2	1	gil	320847
2004	3	1	gil	30917
2004	4	1	gil	55511
2005	1	1	gil	151459
2005	2	1	gil	267244
2005	3	1	gil	34119
2005	4	1	gil	49159
2006	1	1	gil	177140
2006	2	1	gil	264657
2006	3	1	gil	116234
2006	4	1	gil	71816
2007	1	1	gil	180150
2007	2	1	gil	288170
2007	3	1	gil	82770
2007	4	1	gil	81697
2008	1	1	gil	129714
2008	2	1	gil	212007
2008	3	1	gil	54702
2008	4	1	gil	80300
2009	1	1	gil	225702
2009	2	1	gil	327454
2009	3	1	gil	80007
2009	4	1	gil	90016
2010	1	1	gil	154145
2010	2	1	gil	54734
2010	3	1	gil	88640
2010	4	1	gil	66987
2011	1	1	gil	98189
2011	2	1	gil	48571
2011	3	1	gil	17362
2011	4	1	gil	61109
2012	1	1	gil	55354
2012	2	1	gil	117811
2012	3	1	gil	29781
2012	4	1	gil	41805
2013	1	1	gil	75626
2013	2	1	gil	143554
2013	3	1	gil	24575
2013	4	1	gil	101588
2014	1	1	gil	65604
2014	2	1	gil	481967
2014	3	1	gil	44651
2014	4	1	gil	81091
2015	1	1	gil	85449
2015	2	1	gil	427577
2015	3	1	gil	68445
2015	4	1	gil	68819
2016	1	1	gil	60054
2016	2	1	gil	548228
2016	3	1	gil	48221
2016	4	1	gil	24291
2017	1	1	gil	29019
2017	2	1	gil	467710
2017	3	1	gil	37892
2017	4	1	gil	21227
2018	1	1	gil	31740
2018	2	1	gil	291086
2018	3	1	gil	35892
2018	4	1	gil	28032
