; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	total_weight
1994	1	1	lln	232073
1994	2	1	lln	63300
1994	3	1	lln	230816
1994	4	1	lln	465965
1995	1	1	lln	351216
1995	2	1	lln	158494
1995	3	1	lln	192527
1995	4	1	lln	617108
1996	1	1	lln	516931
1996	2	1	lln	285695
1996	3	1	lln	303736
1996	4	1	lln	311352
1997	1	1	lln	365613
1997	2	1	lln	380230
1997	3	1	lln	342346
1997	4	1	lln	584529
1998	1	1	lln	418809
1998	2	1	lln	654568
1998	3	1	lln	298759
1998	4	1	lln	345896
1999	1	1	lln	871261
1999	2	1	lln	467548
1999	3	1	lln	403489
1999	4	1	lln	437840
2000	1	1	lln	578806
2000	2	1	lln	421053
2000	3	1	lln	287668
2000	4	1	lln	262612
2001	1	1	lln	432482
2001	2	1	lln	159721
2001	3	1	lln	341142
2001	4	1	lln	166676
2002	1	1	lln	264712
2002	2	1	lln	295711
2002	3	1	lln	327132
2002	4	1	lln	402376
2003	1	1	lln	521814
2003	2	1	lln	442366
2003	3	1	lln	501366
2003	4	1	lln	751758
2004	1	1	lln	832176
2004	2	1	lln	288557
2004	3	1	lln	232625
2004	4	1	lln	677349
2005	1	1	lln	829620
2005	2	1	lln	715247
2005	3	1	lln	169917
2005	4	1	lln	348261
2006	1	1	lln	1305870
2006	2	1	lln	1232850
2006	3	1	lln	537745
2006	4	1	lln	668494
2007	1	1	lln	1444670
2007	2	1	lln	1276770
2007	3	1	lln	913741
2007	4	1	lln	450211
2008	1	1	lln	1453770
2008	2	1	lln	1311110
2008	3	1	lln	1151980
2008	4	1	lln	1127300
2009	1	1	lln	2195760
2009	2	1	lln	1637460
2009	3	1	lln	1428120
2009	4	1	lln	1008360
2010	1	1	lln	2242000
2010	2	1	lln	1355820
2010	3	1	lln	1544030
2010	4	1	lln	1431350
2011	1	1	lln	2090780
2011	2	1	lln	1263820
2011	3	1	lln	1123190
2011	4	1	lln	1155610
2012	1	1	lln	2565240
2012	2	1	lln	2186470
2012	3	1	lln	1055360
2012	4	1	lln	1713390
2013	1	1	lln	2900170
2013	2	1	lln	2432630
2013	3	1	lln	627718
2013	4	1	lln	851150
2014	1	1	lln	3452130
2014	2	1	lln	3006930
2014	3	1	lln	724995
2014	4	1	lln	1573530
2015	1	1	lln	3074750
2015	2	1	lln	2475020
2015	3	1	lln	754365
2015	4	1	lln	1485900
2016	1	1	lln	1947400
2016	2	1	lln	2240290
2016	3	1	lln	623247
2016	4	1	lln	452184
2017	1	1	lln	1477070
2017	2	1	lln	1781990
2017	3	1	lln	638059
2017	4	1	lln	1015730
2018	1	1	lln	1513290
2018	2	1	lln	1331880
2018	3	1	lln	788427
2018	4	1	lln	444490
